gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
LOC101289791	PMP22	1.71	5.19	112.5	peripheral myelin protein 22
LOC101286580	CSF3	2.68	5.61	152.46	colony stimulating factor 3
LOC101275084	NSA2	1.92	6.24	225.63	NSA2 ribosome biogenesis factor
LOC101280195	TMEM79	4.42	4.73	77.27	transmembrane protein 79
LOC101290467	DSC3	6.12	6.32	234.1	desmocollin 3
LOC101273294	CCND1	1.47	6.73	325.85	cyclin D1
LOC101284095	GPD1	-1.73	6	188.36	glycerol-3-phosphate dehydrogenase 1
LOC101284794	TMEM40	2.28	3.52	32.97	transmembrane protein 40
LOC101286383	ESRP1	5.49	5.04	96.2	epithelial splicing regulatory protein 1
LOC101269940	GNA15	3.35	3.55	34.32	G protein subunit alpha 15
LOC101287787	MKI67	3.05	5.12	102.94	marker of proliferation Ki-67
LOC101279850	NGEF	1.49	5.63	145.81	neuronal guanine nucleotide exchange factor
LOC101271902	TSHZ3	1.54	4.46	72.42	teashirt zinc finger homeobox 3
LOC101280907	MMP23B	2.54	4.65	70.75	matrix metallopeptidase 23B
LOC101288009	BARX2	5.45	2.72	21.96	BARX homeobox 2
LOC101275159	CDC34	1.74	4.02	46.99	cell division cycle 34, ubiqiutin conjugating enzyme
SLC26A10P	SLC26A10P	-2.69	3.51	31.8	Solute carrier family 26 member 10
LOC101276907	BCAN	2.38	3.51	33.62	brevican
LOC101286221	EIF3F	1.73	6.24	221.67	eukaryotic translation initiation factor 3 subunit F
LOC101271243	SYTL1	4.64	3.43	28.26	synaptotagmin like 1
LOC101289027	TGFB3	1.67	4.58	77.39	transforming growth factor beta 3
LOC101277272	CA12	5.06	3.86	40.69	carbonic anhydrase 12
LOC101284473	DLX5	4.45	2.17	7.92	distal-less homeobox 5
LOC101274661	TBXA2R	2.38	3.9	46.82	thromboxane A2 receptor
LOC117202994	LOC117202994	4.86	2.08	17.23	keratin, type II cuticular Hb2-like
CASTOR2	CASTOR2	1.84	5.83	223.3	cytosolic arginine sensor for mTORC1 subunit 2
LOC101275133	JUP	2.22	8.75	1253.84	junction plakoglobin
LOC101277912	OVOL2	5.86	3.31	32.09	ovo like zinc finger 2
LOC101270533	TENM2	4.05	4.34	61.61	teneurin transmembrane protein 2
LOC101287300	SOX15	3.34	3.49	32.56	SRY-box transcription factor 15
LOC101276034	UBA52	1.9	7.28	455.28	ubiquitin A-52 residue ribosomal protein fusion product 1
CCN3	CCN3	-2.31	5.71	143.79	cellular communication network factor 3
LOC101273162	LRRK2	-1.16	6.91	342.17	leucine rich repeat kinase 2
LOC101286629	AQP3	4.04	4.44	61.25	aquaporin 3 (Gill blood group)
LOC101278386	EMX2	1.79	3.75	42.24	empty spiracles homeobox 2
PRXL2A	PRXL2A	-1.54	6.24	214.99	peroxiredoxin like 2A
C9H7orf57	C9H7orf57	2.82	3.53	33.38	chromosome 9 C7orf57 homolog
LOC101272123	ZBTB47	1.48	7.7	678.98	zinc finger and BTB domain containing 47
LOC125960760	LOC125960760	3.51	6.11	560.47	uncharacterized LOC125960760
LOC101283349	BHLHE40	1.56	6.88	359.46	basic helix-loop-helix family member e40
LOC101290394	ATP6V1C2	-2	3.16	26.13	ATPase H+ transporting V1 subunit C2
LOC101272668	CFD	2.24	3.88	42.53	complement factor D
LOC101289855	NFATC2	2.49	6.74	360.05	nuclear factor of activated T cells 2
LOC101277218	KCNA5	-3.15	1.8	9.5	potassium voltage-gated channel subfamily A member 5
LOC101272102	LOC101272102	1.8	3.78	42.73	histone H2AX
LOC101273861	PEBP4	2.67	2.78	20.84	phosphatidylethanolamine binding protein 4
LOC101282425	SH3RF2	3.09	5.42	126.53	SH3 domain containing ring finger 2
LOC101269421	INSIG1	-1.66	4.65	72.83	insulin induced gene 1
LOC101272258	GPR137B	1.84	4.78	84.43	G protein-coupled receptor 137B
LOC101269815	LOC101269815	1.63	4.21	55.05	cytochrome P450 27C1
LOC101272111	YWHAQ	0.98	6.32	239.61	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
LOC101290249	MIPEP	-0.96	5.79	158.03	mitochondrial intermediate peptidase
LOC101289047	CREB5	1.47	4.49	68.74	cAMP responsive element binding protein 5
LOC101279441	IFNGR2	1.66	5.11	104.09	interferon gamma receptor 2
LOC101275429	MAZ	1.09	6.61	289.91	MYC associated zinc finger protein
LOC117197432	LOC117197432	1.61	4.8	86.58	protein POLR1D-like
LOC101284382	SEC61A1	1.32	7.07	423.11	SEC61 translocon subunit alpha 1
LOC101269732	TBC1D30	-1.56	4.77	77.86	TBC1 domain family member 30
C5H3orf70	C5H3orf70	1.87	4.39	63.31	chromosome 5 C3orf70 homolog
LOC101275443	LOC101275443	1.65	6.01	194.89	histone H1.3
LOC101282618	CHST1	-2.16	5.94	168.36	carbohydrate sulfotransferase 1
LOC101272316	CRIM1	-1.78	8.02	731.8	cysteine rich transmembrane BMP regulator 1
LOC101277543	NBEA	-1.47	6.42	245.99	neurobeachin
LOC101270128	MYOC	2.66	5.86	168.92	myocilin
LOC101289195	ACSL1	-1.31	6.12	199.13	acyl-CoA synthetase long chain family member 1
LOC101276782	VMAC	2.11	3	21.76	vimentin type intermediate filament associated coiled-coil protein
LOC101288007	HSBP1L1	2.61	2.89	49.86	heat shock factor binding protein 1 like 1
LOC101272326	SLC9A1	1.98	6.16	208.62	solute carrier family 9 member A1
LOC101271201	CDK2AP1	1.38	4.05	53.01	cyclin dependent kinase 2 associated protein 1
LOC101279540	SLC25A6	1.6	9.16	1690.99	solute carrier family 25 member 6
LOC101285321	KAL1	1.69	4.94	89.52	anosmin 1
LOC101283648	LOC101283648	1.93	5.17	218.4	nucleolin
LOC101279061	LOC101279061	2.44	4.66	74.97	histone H2A type 1-B
C1H1orf115	C1H1orf115	-2.29	6.1	248.2	chromosome 1 C1orf115 homolog
LOC101270224	PTPN9	2.33	6.86	347.88	protein tyrosine phosphatase non-receptor type 9
LOC101285330	MYCL	3.12	3.16	25.4	MYCL proto-oncogene, bHLH transcription factor
LOC101270037	GOLIM4	1.41	7.68	609.8	golgi integral membrane protein 4
LOC101274936	MRPL53	1.34	4.82	88.6	mitochondrial ribosomal protein L53
LOC101275122	EGR1	1.55	5.1	106.78	early growth response 1
LOC101279087	GATA3	2.79	4.33	57.78	GATA binding protein 3
LOC101286746	STK25	0.96	6.16	210.88	serine/threonine kinase 25
LOC101290459	ZNF296	3.41	4.1	13.64	zinc finger protein 296
LOC101287420	ARHGAP32	1.58	6.13	208.9	Rho GTPase activating protein 32
LOC101279037	RNF222	5.79	3.3	17.67	ring finger protein 222
LOC117196697	JPH3	2.12	4.13	47.67	junctophilin 3
LOC101278764	COL1A1	2.35	14.7	79503.89	collagen type I alpha 1 chain
LOC101275066	NOTCH4	-2.14	5.86	164.08	notch receptor 4
LOC101273312	MFAP5	2.62	4.14	53.42	microfibril associated protein 5
LOC101286402	TTC7B	-1.18	5.43	129.1	tetratricopeptide repeat domain 7B
LOC101285484	SAP18	1.66	5.57	141.52	Sin3A associated protein 18
LOC101273523	PPARD	1.74	5.6	146.21	peroxisome proliferator activated receptor delta
LOC101286214	EEF2	1.24	10.79	5165.15	eukaryotic translation elongation factor 2
LOC101278388	NDUFA3	2.19	1.98	10.48	NADH:ubiquinone oxidoreductase subunit A3
LOC101289458	COL1A2	2.45	14.26	59316.55	collagen type I alpha 2 chain
LOC101272075	GPS2	1.34	4.41	61.74	G protein pathway suppressor 2
LOC101275330	RNF152	-1.63	7.37	463.17	ring finger protein 152
LOC101280943	EPS8	-1.41	6.02	187.67	epidermal growth factor receptor pathway substrate 8
LOC101272065	ETV3	1.16	6.16	220.2	ETS variant transcription factor 3
LOC101274241	BAG3	1.56	6.9	339.4	BAG cochaperone 3
LOC101278430	SCNN1A	2.95	3.95	45.18	sodium channel epithelial 1 subunit alpha
LOC101289653	TERT	5.13	3.09	22.41	telomerase reverse transcriptase
LOC101270053	KRT18	-2.34	2.75	17.77	keratin 18
LOC101286687	MT	3.11	8.34	971	metallothionein-2
LOC101277042	GALNT18	-1.8	5.66	142.18	polypeptide N-acetylgalactosaminyltransferase 18
LOC101279164	RBM4	2.2	6.95	376.55	RNA-binding protein 4
LOC101274024	DENND5B	-1.16	5	94.44	DENN domain containing 5B
LOC101289565	THY1	1.74	6.69	408.05	Thy-1 cell surface antigen
LOC101281547	CCDC102A	-1.86	6.94	367.31	coiled-coil domain containing 102A
LOC125961496	LOC125961496	1.18	6.67	300.87	60S ribosomal protein L12-like
LOC101285796	AACS	-1.42	6.52	261.57	acetoacetyl-CoA synthetase
LOC101289891	PRRX1	1.43	6.95	427.35	paired related homeobox 1
LOC101281797	WASL	1.07	5.55	142.46	WASP like actin nucleation promoting factor
LOC101275682	PHLDB3	2.67	7.15	912.82	pleckstrin homology like domain family B member 3
LOC101279716	PTGIR	2.04	2.84	25.93	prostaglandin I2 receptor
LOC101269382	SERF1A	1.8	2.05	12.62	small EDRK-rich factor 1B
LOC101274270	RPS25	1.95	7.23	448.56	ribosomal protein S25
LOC101275968	FKBP10	1.34	7.42	510.85	FKBP prolyl isomerase 10
LOC101278980	NACA	1.42	7.25	446.08	nascent polypeptide associated complex subunit alpha
LOC101271471	EFHC2	-2.69	1.77	9.42	EF-hand domain containing 2
LOC101280232	LOC101280232	2.84	2.94	22.82	histone H2B type 1-C/E/F/G/I-like
LOC125962094	LOC125962094	1.7	5.66	155.44	UBA like domain containing 2
LOC125964874	LOC125964874	4.21	2.89	24.49	HR upstream open reading frame
LOC101282594	SLC27A6	4.74	3.62	35.28	solute carrier family 27 member 6
LOC101278593	HERC4	-1.18	5.36	113.56	HECT and RLD domain containing E3 ubiquitin protein ligase 4
LOC117203706	LOC117203706	1.54	5.79	161.61	60S ribosomal protein L31-like
LOC101285405	DYNC1I1	-1.44	3.87	42.69	dynein cytoplasmic 1 intermediate chain 1
LOC101288360	TLL1	-2.14	4.2	57.37	tolloid like 1
LOC101275009	UPK2	4.34	4.52	76.47	uroplakin 2
LOC101288413	IRX2	2.15	6.37	220.66	iroquois homeobox 2
ENTREP1	ENTREP1	-1.73	4.48	63.26	endosomal transmembrane epsin interactor 1
LOC101281089	LOC101281089	2.07	4.91	91.88	histone H2B type 1-C/E/F/G/I-like
LOC117197019	LOC117197019	5.38	4.13	15.94	beta-defensin 103A-like
LOC101276687	ZFP36	1.53	5.47	128.76	ZFP36 ring finger protein
LOC101283545	C1QTNF9	-2.38	2.99	22.04	C1q and TNF related 9
LOC101285825	BLVRA	1.72	4.36	62.03	biliverdin reductase A
LOC101271854	KCNMA1	1.91	5.32	121.68	potassium calcium-activated channel subfamily M alpha 1
LOC101290490	BICC1	2.07	5.51	142.55	BicC family RNA binding protein 1
LOC101278337	LOC101278337	2.37	6.07	1034.91	UBX domain-containing protein 4-like
LOC101270542	HPCAL1	1.6	5.37	142.66	hippocalcin like 1
LOC101279990	RBMS2	2.2	6.35	246.68	RNA binding motif single stranded interacting protein 2
LOC101277970	ARAP2	3.3	3.74	39.67	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
LOC101285500	HSPB6	1.38	6.27	231.48	heat shock protein family B (small) member 6
LOC101278635	TSR1	1.24	5.09	104.59	TSR1 ribosome maturation factor
LOC101282046	PHPT1	1.77	2.93	22.51	phosphohistidine phosphatase 1
LOC101276148	CST6	1.95	3.36	28.9	cystatin E/M
LOC101277201	LOC101277201	5.18	2.87	19.97	histone H4
LOC101270081	ACSL4	-1.35	4.59	68.32	acyl-CoA synthetase long chain family member 4
LOC101276470	RSAD1	-1.25	5.16	101.87	radical S-adenosyl methionine domain containing 1
LOC101285059	CDC25B	1.95	3.75	38.67	cell division cycle 25B
LOC101282701	LOC101282701	1.67	6.9	374.03	histone H2B type 2-E
LOC101283887	CLTB	1.38	6.73	317.83	clathrin light chain B
LOC101285701	SYNPO2L	2.21	3.08	27.1	synaptopodin 2 like
LOC101281101	IFI30	1.16	4.6	65.87	IFI30 lysosomal thiol reductase
LOC101287846	ELL2	1.47	5.47	135.81	elongation factor for RNA polymerase II 2
LOC101288935	ADIPOR2	-1.69	7.85	726.27	adiponectin receptor 2
LOC101288292	RPL7A	1.33	8.07	788.77	ribosomal protein L7a
LOC101288574	MTMR4	-1.39	5.21	108.41	myotubularin related protein 4
LOC101286650	FOS	2.24	4.45	63	Fos proto-oncogene, AP-1 transcription factor subunit
LOC101280510	SAP30	-2.03	4.84	88.12	Sin3A associated protein 30
LOC101278910	RNF157	1.72	4.1	41.03	ring finger protein 157
LOC101276866	RUBCN	-1.26	5.37	123.49	rubicon autophagy regulator
LOC101290058	LOC101290058	1.74	4.94	90.6	myosin regulatory light chain 12B
LOC101277333	MDFI	2.78	3.43	29.17	MyoD family inhibitor
LOC101287090	SLC5A3	-1.38	4.52	72.44	solute carrier family 5 member 3
LOC101279938	GPNMB	3.2	6.04	157.1	glycoprotein nmb
LOC101287432	ZNF326	1.38	5.25	112.19	zinc finger protein 326
LOC101273699	SPCS1	1.95	3.56	36.36	signal peptidase complex subunit 1
LOC101290094	MCTP1	-1.46	5.43	124.91	multiple C2 and transmembrane domain containing 1
LOC101273095	ACKR4	2.84	2.99	26.05	atypical chemokine receptor 4
LOC101278025	SAMD10	2.68	3.13	25.78	sterile alpha motif domain containing 10
C20H19orf33	C20H19orf33	3.05	6.01	186.34	chromosome 20 C19orf33 homolog
LOC101285912	S100A11	2.23	4.74	74.7	S100 calcium binding protein A11
LOC101284910	COPS6	1.55	5.13	102.73	COP9 signalosome subunit 6
LOC101274891	RWDD1	1.34	4.52	70.64	RWD domain containing 1
LOC101280267	FIBIN	2.16	4.55	73.1	fin bud initiation factor homolog
LOC101275919	VSIG10L	2.13	4.87	85.45	V-set and immunoglobulin domain containing 10 like
LOC101271871	MRPS5	2.95	6.94	185.65	mitochondrial ribosomal protein S5
LOC101279931	CHPF	1.44	5.96	186.12	chondroitin polymerizing factor
LOC101283481	PDE11A	-1.86	3.91	43.31	phosphodiesterase 11A
LOC101277627	CHST7	-1.82	4.09	46.1	carbohydrate sulfotransferase 7
LOC101279071	PCBP1	1.29	6.98	386.52	poly(rC) binding protein 1
LOC101286532	THOC7	1.82	4.64	73.27	THO complex 7
LOC101270790	KIF3B	1.2	6.15	217.36	kinesin family member 3B
LOC101280230	TP53INP2	1.52	4.88	120.71	tumor protein p53 inducible nuclear protein 2
LOC101288570	KLC3	4.73	4.35	13.71	kinesin light chain 3
LOC101275500	SLC6A8	1.45	5.66	151.87	solute carrier family 6 member 8
LOC117202385	LOC117202385	3.33	6.25	835.4	heterogeneous nuclear ribonucleoproteins A2/B1-like
LOC101282587	RTN4R	2.84	2.21	12.53	reticulon 4 receptor
LOC101290086	NFIA	0.96	6.94	400.86	nuclear factor I A
LOC101278890	RPS2	1.24	10.46	4187.11	ribosomal protein S2
LOC101273332	EHF	5.28	4.67	80.84	ETS homologous factor
LOC101273811	CEP170B	1.77	6.97	363.88	centrosomal protein 170B
LOC101271087	RPS15A	1.58	6.25	226.27	ribosomal protein S15a
LOC101275475	FN1	1.75	11.37	7892.53	fibronectin 1
LOC101287294	HOXA9	1.23	5.13	102.14	homeobox A9
LOC101272766	SSBP3	1.18	5.12	115.91	single stranded DNA binding protein 3
LOC101276955	MAPT	2.51	3.93	40.13	microtubule associated protein tau
LOC101271110	WWC1	3.59	4.81	76.43	WW and C2 domain containing 1
LOC101287750	FOXRED2	1.52	3.38	28.29	FAD dependent oxidoreductase domain containing 2
LOC101274905	CNOT3	1.33	5.4	114.76	CCR4-NOT transcription complex subunit 3
LOC101280657	MEGF6	-1.78	5.62	141.91	multiple EGF like domains 6
LOC101278523	EEF1G	1.1	8.66	1183.64	eukaryotic translation elongation factor 1 gamma
LOC101289133	SLIT2	-2.19	3.22	23.65	slit guidance ligand 2
LOC101287429	PLCL1	-2.68	2.88	20.68	phospholipase C like 1 (inactive)
LOC101283302	CADPS2	-1.44	4.83	83.52	calcium dependent secretion activator 2
LOC101283424	ZNF750	4.09	4.8	81.94	zinc finger protein 750
LOC101272877	PPP3R1	1.39	6.01	189.02	protein phosphatase 3 regulatory subunit B, alpha
LOC101274310	HMGN1	1.69	5.14	111.49	high mobility group nucleosome binding domain 1
LOC101278255	HK2	2.72	4.65	72.86	hexokinase 2
LOC101271515	RPL15	1.64	7.53	541.92	ribosomal protein L15
LOC101284924	TMPRSS4	5.51	2.76	21.27	transmembrane serine protease 4
LOC101285722	PGLS	1.53	5.29	114.57	6-phosphogluconolactonase
LOC101272278	UHRF1	1.76	5.67	152.13	ubiquitin like with PHD and ring finger domains 1
LOC101276460	SAMD4A	1.26	7.07	461.54	sterile alpha motif domain containing 4A
LOC101277436	GALNT15	-2.22	6.42	240.45	polypeptide N-acetylgalactosaminyltransferase 15
LOC101277721	EPHA4	-1.43	5.45	125.54	EPH receptor A4
LOC101276992	FOXN1	4.68	3.85	56.11	forkhead box N1
LOC101288701	HOXB6	-1.99	5.76	149.81	homeobox B6
LOC101286000	RPL8	1.48	8.51	1082.51	ribosomal protein L8
LOC101290454	SELP	-2.05	5.22	102.64	selectin P
LOC101271802	ARPC2	1.64	6.55	278.4	actin related protein 2/3 complex subunit 2
LOC101270951	CMPK1	1.56	5.56	144.99	cytidine/uridine monophosphate kinase 1
LOC101284448	ZFP36L1	1.02	6.72	320.56	ZFP36 ring finger protein like 1
LOC101289595	COL4A6	-1.85	4.71	72.7	collagen type IV alpha 6 chain
LOC101289523	SF3B5	1.47	3.94	42.66	splicing factor 3b subunit 5
LOC101274639	HEBP2	2.43	4.47	62.74	heme binding protein 2
LOC101281353	ETV5	1.67	3.9	47.51	ETS variant transcription factor 5
LOC101288545	SURF4	0.93	6.1	214.9	surfeit 4
LOC101279219	PADI1	4.91	5.51	14.13	peptidyl arginine deiminase 1
LOC101284264	CCDC142	-1.41	5.59	136.75	coiled-coil domain containing 142
LOC101276536	NDUFA11	1.45	4.91	93.91	NADH:ubiquinone oxidoreductase subunit A11
LOC101286569	LGALSL	2.09	5.15	93.31	galectin like
LOC101269221	PLEKHA5	1.72	6.6	336.12	pleckstrin homology domain containing A5
LOC101270823	EXOC3L1	-1.94	3.71	36.23	exocyst complex component 3 like 1
LOC101276770	CELA1	5.82	3.02	27.83	chymotrypsin like elastase 1
LOC101269525	ABCG2	-1.59	4.22	53.04	ATP binding cassette subfamily G member 2 (Junior blood group)
LOC101285278	CLDN5	-2.56	6.57	283.48	claudin 5
LOC101288595	SCAMP2	1.31	5.35	128.08	secretory carrier membrane protein 2
LOC101284887	SSR2	1.12	5.1	103.61	signal sequence receptor subunit 2
LOC101276766	CHMP4B	1.15	5.65	130.75	charged multivesicular body protein 4B
LOC101279563	CA4	-3.06	2.54	15.04	carbonic anhydrase 4
LOC101269841	PHTF1	-0.99	4.98	90.19	putative homeodomain transcription factor 1
LOC101277159	SIX2	3.95	2.92	21.21	SIX homeobox 2
LOC101285905	TBC1D14	1.6	5.22	119.33	TBC1 domain family member 14
LOC101276759	SERPINI1	-1.97	3.14	23.96	serpin family I member 1
LOC101289188	ATP6V0D1	1.11	5.68	148.51	ATPase H+ transporting V0 subunit d1
LOC101289401	REEP4	1.99	4.74	78.44	receptor accessory protein 4
LOC101273728	LOC101273728	1.2	6.43	267.83	histone H1.0
LOC101270798	RRM2	3.4	2.94	21.43	ribonucleotide reductase regulatory subunit M2
LOC101287492	TXN2	1.23	4.95	98.06	thioredoxin 2
LOC101273832	RPL32	1.77	7.86	699.31	ribosomal protein L32
LOC101288221	MIGA2	-1.53	5.86	174.72	mitoguardin 2
LOC101282946	CSTB	1.78	4.99	96.69	cystatin B
LOC125962169	LOC125962169	1.67	6.16	416.35	ferritin light chain
LOC101269651	PMM1	2.36	6.63	929.47	phosphomannomutase 1
LOC101273308	LOC101273308	2.26	3.72	62.19	60S acidic ribosomal protein P1-like
LOC101284587	RGMA	1.53	4.39	59.26	repulsive guidance molecule BMP co-receptor a
LOC101274821	SLAIN2	1.13	5.64	150.91	SLAIN motif family member 2
LOC125964296	LOC125964296	-2.16	2.04	17.59	RNA/RNP complex-1-interacting phosphatase-like
ELOB	ELOB	1.62	4.73	81.43	elongin B
LOC101288796	JAZF1	1.78	4.37	59.78	JAZF zinc finger 1
LOC101283237	PCBP2	1.38	7.73	651.57	poly(rC) binding protein 2
LOC101274352	TTC39C	2.14	5.62	188.86	tetratricopeptide repeat domain 39C
LOC101290483	EMG1	1.25	4.21	55.68	EMG1 N1-specific pseudouridine methyltransferase
LOC101276175	RCC1L	-1.29	6	186.36	RCC1 like
LOC101280400	PDYN	3.47	1.2	6.67	prodynorphin
LOC101285088	FTL	1.48	8.08	886.83	ferritin light chain
LOC101284850	NDUFB4	2.24	2.57	16.7	NADH:ubiquinone oxidoreductase subunit B4
LOC101279390	ALDH1A3	1.72	4.85	87.38	aldehyde dehydrogenase 1 family member A3
LOC101271582	TUBB	1.01	7.6	563.44	tubulin beta class I
LOC101272541	LGALS1	1.79	8.78	1345.52	galectin 1
LOC101283604	ISLR	1.76	5.13	110.74	immunoglobulin superfamily containing leucine rich repeat
LOC101272356	SPOCK2	-1.82	6.95	416.93	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2
LOC101280017	RASL11A	2.01	2.51	16.07	RAS like family 11 member A
LOC101278568	RPL26L1	1.76	3.9	45.97	ribosomal protein L26 like 1
LOC101288868	CPE	-1.85	4.91	85.93	carboxypeptidase E
LOC101277349	ATP6V1F	1.34	4.29	57.6	ATPase H+ transporting V1 subunit F
LOC101287464	BICDL2	4.57	4.21	19.03	BICD family like cargo adaptor 2
LOC101283473	PAX8	3.63	2.13	14.94	paired box 8
LOC101273624	DGKE	-1.22	5.44	129.97	diacylglycerol kinase epsilon
LOC101278647	FZD4	-2.1	6.93	408.34	frizzled class receptor 4
C3H19orf53	C3H19orf53	1.34	3.96	55.81	chromosome 3 C19orf53 homolog
LOC101286439	PIM1	1.41	4.25	60.19	Pim-1 proto-oncogene, serine/threonine kinase
LOC101281697	RNF6	1.5	5.54	138.27	ring finger protein 6
LOC101273925	PCP4L1	-2.68	2.3	21.28	Purkinje cell protein 4 like 1
LOC101288095	GLRX	2.68	4.81	89.55	glutaredoxin
LOC101290057	CARD14	-2.67	1.91	10.88	caspase recruitment domain family member 14
LOC101279645	PPP1R16B	-1.63	4.97	95.13	protein phosphatase 1 regulatory subunit 16B
LOC101277090	ARHGAP44	-2.13	3.75	36.31	Rho GTPase activating protein 44
LOC101284494	TNIK	-1.27	4.33	57.06	TRAF2 and NCK interacting kinase
LOC101287805	PRKCI	1.8	7.07	357.49	protein kinase C iota
LOC101280215	BPIFC	4.19	3.03	23.05	BPI fold containing family C
LOC105747710	UBE2V1	1.5	4.97	89.77	ubiquitin conjugating enzyme E2 V1
LOC101276222	SLC6A2	2.58	2.88	25.15	solute carrier family 6 member 2
LOC101279709	MRPL14	1.44	4.26	60.19	mitochondrial ribosomal protein L14
LOC101275617	ANTXR1	1.3	6.53	298.63	ANTXR cell adhesion molecule 1
LOC101283207	LOC101283207	4.27	2.29	12.86	histone H2B type 2-E-like
LOC101278851	TMCC2	-1.51	4.51	65.36	transmembrane and coiled-coil domain family 2
LOC101279326	S1PR5	3.77	2.96	23.44	sphingosine-1-phosphate receptor 5
LOC101279837	POGLUT1	2.37	6.54	305.67	protein O-glucosyltransferase 1
LOC125965217	LOC125965217	2.71	2.29	29.08	sodium voltage-gated channel beta subunit 2
BPNT2	BPNT2	-1.28	6.95	376.85	3'(2'), 5'-bisphosphate nucleotidase 2
LOC101274953	CEP68	-1.29	5.99	170.31	centrosomal protein 68
LOC101285586	RILP	-1.81	5.03	91.8	Rab interacting lysosomal protein
LOC101284350	PCDHB15	-1.34	5.22	108.47	protocadherin beta-2
RETREG1	RETREG1	-1.84	3.91	41.38	reticulophagy regulator 1
LOC101269291	PTOV1	0.94	5.66	150.38	PTOV1 extended AT-hook containing adaptor protein
NKY04_mgp03	ND5	3.44	13.72	45860.39	NA
LOC101280119	MSL2	-1.24	5.84	161.06	MSL complex subunit 2
LOC101273236	RPL28	1.43	7.74	630.72	ribosomal protein L28
LOC101275102	PDGFRL	1.82	5.66	150.87	platelet derived growth factor receptor like
LOC101270456	EPHA1	5	3.65	32.86	EPH receptor A1
GOLM2	GOLM2	1.36	5.83	174.77	golgi membrane protein 2
LOC101287226	TP73	3.03	3.28	27.08	tumor protein p73
ELOA	ELOA	1.08	4.98	92.73	elongin A
LOC101278656	RMDN3	-1.48	4.94	88.73	regulator of microtubule dynamics 3
LOC101274307	RAPSN	-1.57	4.44	63.06	receptor associated protein of the synapse
LOC105747741	GNG10	1.75	4.34	62.41	G protein subunit gamma 10
LOC101273032	UBL5	1.6	3.78	41.47	ubiquitin like 5
LOC117202669	LOC117202669	2.84	4.08	47.34	histone H3.1
LRATD2	LRATD2	-1.65	4.92	106.05	LRAT domain containing 2
LOC101288687	HES1	1.64	3.56	34.68	hes family bHLH transcription factor 1
LOC101274156	PLA2G3	5.14	3.35	30.4	phospholipase A2 group III
LOC101279434	ABCB1	-1.57	5.83	158.14	ATP binding cassette subfamily B member 1
LOC101270369	PEX6	-1.52	5.88	168.23	peroxisomal biogenesis factor 6
LOC101282824	TMEM45A	2.56	3.36	30.77	transmembrane protein 45A
LOC101275550	SERPINB6	1.59	4.53	66.42	serpin B6
LOC101276122	KCTD16	-2.35	1.3	6.08	potassium channel tetramerization domain containing 16
LOC101277032	CAPS	2.79	3.13	23.48	calcyphosine
LOC101274009	GABARAP	1.22	6.56	214.36	GABA type A receptor-associated protein
LOC101279045	ZAN	3.47	2.6	19.63	zonadhesin
LOC101276991	CECR2	-1.54	5.54	139.86	cat eye syndrome critical region protein 2
LOC101269556	ANKK1	3.22	4.19	53.17	ankyrin repeat and kinase domain containing 1
LOC101286207	ADCY2	2.38	4.11	51.14	adenylate cyclase 2
MAP3K21	MAP3K21	1.85	5.98	192.81	mitogen-activated protein kinase kinase kinase 21
LOC101289976	ACP5	2.34	2.91	21.01	acid phosphatase 5, tartrate resistant
LOC101279528	BNIP3	1.73	4.22	55.28	BCL2 interacting protein 3
LOC101279469	MAP1LC3A	1.6	5.92	181.7	microtubule associated protein 1 light chain 3 alpha
LOC101279831	CRB3	5.48	2.32	13.59	crumbs cell polarity complex component 3
LOC101277063	GJA1	1.76	6.02	192.44	gap junction protein alpha 1
LOC101278625	FRY	-1.34	7.22	429.36	FRY microtubule binding protein
LOC101287529	TSPAN12	-1.65	3.89	41.76	tetraspanin 12
LOC101289814	LOC101289814	1.25	7.41	523.19	tubulin alpha 1b
LOC101271661	TNNT2	2.79	2.17	12.76	troponin T2, cardiac type
LOC101283873	DACH2	-1.92	2.5	14.73	dachshund family transcription factor 2
LOC101273539	MMP28	-1.87	5.68	157.01	matrix metallopeptidase 28
CRACDL	CRACDL	3.3	3.5	31.91	CRACD like
LOC101288611	DISC1	-1.45	4.21	53.69	DISC1 scaffold protein
LOC101289854	RPL27	1.59	7.34	484.64	ribosomal protein L27
LOC101289167	TUBA1C	1.52	6.54	271.88	tubulin alpha-1C chain
LOC117198671	LOC117198671	-2.06	3.62	34.55	NHS-like protein 2
LOC101284812	GPRIN2	-1.44	4.63	95.87	G protein regulated inducer of neurite outgrowth 2
LOC101270971	CD74	2.19	5.89	184.53	CD74 molecule
LOC101272392	ASB2	-2.42	3.2	25.42	ankyrin repeat and SOCS box containing 2
LOC101276127	TCHP	1.99	5.82	141.69	trichoplein keratin filament binding
LOC101285252	LOC101285252	3.91	2.22	16.24	histone H3.1
LOC101282107	ARV1	1.49	4.09	48.13	ARV1 homolog, fatty acid homeostasis modulator
LOC101280491	LOC101280491	2.35	3.07	24.74	histone H3.1
LOC101283589	SRM	1.09	4.27	58.57	spermidine synthase
